Date,Close_Date,Adjusted_Close_Price,Volume
2019-04-08,2019-04-12,5.99,1245832
2019-04-01,2019-04-05,5.83,1775115
2019-03-25,2019-03-29,5.83,3789291
2019-03-18,2019-03-22,5.7,1737363
2019-03-11,2019-03-15,5.73,1574529
2019-03-04,2019-03-08,5.64,1375446
2019-02-25,2019-03-01,5.9,1011753
2019-02-18,2019-02-22,6.04,2805676
2019-02-11,2019-02-15,6.17,1899794
2019-02-04,2019-02-08,5.87,2007680
2019-01-28,2019-02-01,5.86,687579
2019-01-21,2019-01-25,5.86,1071062
2019-01-14,2019-01-18,5.85,1634251
2019-01-07,2019-01-11,5.64,639883
2018-12-31,2019-01-04,5.59,436531
2018-12-24,2018-12-28,5.54,455262
2018-12-17,2018-12-21,5.56,2233080
2018-12-10,2018-12-14,5.29,1661364
2018-12-03,2018-12-07,5.46,1527956
2018-11-26,2018-11-30,5.4,767578
2018-11-19,2018-11-23,5.28,2338635
2018-11-12,2018-11-16,5.71,1151718
2018-11-05,2018-11-09,5.91,1275801
2018-10-29,2018-11-02,6.03,1048460
2018-10-22,2018-10-26,5.74,2077069
2018-10-15,2018-10-19,6.27,9209387
2018-10-08,2018-10-12,6.07,2261837
2018-10-01,2018-10-05,6.12,3038571
2018-09-24,2018-09-28,6.18,6627067
2018-09-17,2018-09-21,5.86,2581683
2018-09-10,2018-09-14,5.19,1352704
2018-09-03,2018-09-07,5.08,1392276
2018-08-27,2018-08-31,5.04,1332526
2018-08-20,2018-08-24,5.09,2383540
2018-08-13,2018-08-17,5.24,1570968
2018-08-06,2018-08-10,5.16,2048587
2018-07-30,2018-08-03,5.08,1442923
2018-07-23,2018-07-27,5.06,1301340
2018-07-16,2018-07-20,5.08,1896146
2018-07-09,2018-07-13,5.17,2101117
2018-07-02,2018-07-06,4.68,969899
